# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Genotype,Age,Strain,Perturbation type,Data type,Data source,Source,Comments
zip-2,f32b6.4
zip-2,f36a4.4
zip-2,clec-234
zip-2,ttbk-2
zip-2,r13h9.5
zip-2,y59e9al.3
zip-2,y59e9al.2
zip-2,mpz-4
zip-2,f58g1.9
zip-2,sst-20
zip-2,f27c1.1
zip-2,y42h9ar.2
zip-2,clec-123
zip-2,zk84.5
zip-2,f55c12.2
zip-2,y106g6g.4
zip-2,gipc-2
zip-2,y59e9al.6
zip-2,snf-5
zip-2,c33f10.11
zip-2,zc434.9
zip-2,c14c10.1
zip-2,c28d4.5
zip-2,f13a7.7
zip-2,gsp-4
zip-2,c33f10.1
zip-2,gsto-1
zip-2,y38c1aa.7
zip-2,f21h7.5
zip-2,skpo-3
zip-2,atpase
zip-2,clec-151
zip-2,f53a9.6
zip-2,t28h11.7
zip-2,zc477.7
zip-2,nhr-43
zip-2,smz-1
zip-2,f23b12.3
zip-2,f23b12.4
zip-2,w03d8.9
zip-2,w03d8.10
zip-2,ttr-14
zip-2,t23f11.2
zip-2,f26b1.1
zip-2,w09d6.4
zip-2,y47d3a.13
zip-2,c24d10.2
zip-2,t16a9.5
zip-2,t19d12.4
zip-2,t23b3.5
zip-2,f42a9.7
zip-2,k08c9.2
zip-2,c05c12.1
zip-2,f58a6.5
zip-2,cth-1
zip-2,c35e7.9
zip-2,ttr-30
zip-2,ttr-59
zip-2,y57g11a.2
zip-2,y47g6a.26
zip-2,ssq-4
zip-2,ssq-3
zip-2,c27d6.3
zip-2,zk938.1
zip-2,t19d2.1
zip-2,t23g11.1
zip-2,y58a7a.3
zip-2,nas-9
zip-2,y69e1a.1
zip-2,c06a8.6
zip-2,gipc-1
zip-2,k11c4.1
zip-2,ah6.3
zip-2,gsp-3
zip-2,smz-2
zip-2,f07a5.2
zip-2,ssp-35
zip-2,gska-3
zip-2,f17e9.5
zip-2,f54c1.8
zip-2,spch-3
zip-2,spch-2
zip-2,f32b5.4
zip-2,t13f2.9
zip-2,sss-1
zip-2,t10e9.4
zip-2,c43e11.5
zip-2,c50f2.5
zip-2,c45g9.9
zip-2,c45g9.4
zip-2,zk858.2
zip-2,f40h6.1
zip-2,f47b3.5
zip-2,f47b3.4
zip-2,y38h8a.4
zip-2,y38h8a.3
zip-2,c39h7.1
zip-2,f09f7.5
zip-2,zk795.2
zip-2,irld-14
zip-2,t07a5.1
zip-2,spch-1
zip-2,c50e10.1
zip-2,f35h8.4
zip-2,c15c6.2
zip-2,y105c5a.13
zip-2,y105c5a.12
zip-2,f38h4.4
zip-2,c41g7.6
zip-2,f32a11.3
zip-2,c34f11.5
zip-2,zc376.8
zip-2,c16e9.1
zip-2,r07e5.15
zip-2,f17c8.7
zip-2,nlp-25
zip-2,y39b6a.30
zip-2,y73f8a.23
zip-2,f47b3.7
zip-2,f47b3.2
zip-2,sss-2
zip-2,acr-3
zip-2,zk1248.5
zip-2,mpst-4
zip-2,f54h12.5
zip-2,y62h9a.8
zip-2,c50c3.2
zip-2,c07a9.5
zip-2,f53a9.1
zip-2,col-180
zip-2,f10g8.1
zip-2,c55b7.3
zip-2,c08e3.1
zip-2,y43f8a.2
zip-2,m162.7
zip-2,c10c5.2
zip-2,basl-1
zip-2,t08b6.4
zip-2,c04g2.5
zip-2,c36h8.1
zip-2,acox-5
zip-2,tsp-19
zip-2,ugt-36
zip-2,e03h12.7
zip-2,col-162
zip-2,col-161
zip-2,clec-207
zip-2,y116a8a.6
zip-2,y116a8a.4
zip-2,t20d4.4
zip-2,t20d4.3
zip-2,w03g9.5
zip-2,decr-1.1
zip-2,col-149
zip-2,b0393.4
zip-2,t05a10.4
zip-2,f40f8.4
zip-2,f54e7.6
zip-2,c45b2.2
zip-2,col-39
zip-2,nlp-42
zip-2,zk593.9
zip-2,t25b9.4
zip-2,c26f1.1
zip-2,ceeh-1
zip-2,nspb-3
zip-2,nspb-2
zip-2,vap-2
zip-2,snf-2
zip-2,c42d4.3
zip-2,r10d12.10
zip-2,col-7
zip-2,col-62
zip-2,y58a7a.5
zip-2,zk354.2
zip-2,kin-24
zip-2,nspb-5
zip-2,nspb-4
zip-2,nspb-1
zip-2,pgp-5
zip-2,irg-1
zip-2,y73f4a.3
zip-2,fipr-8
zip-2,f55f8.7
zip-2,t23f6.3
zip-2,h08m01.1
zip-2,d1081.5
zip-2,grl-21
zip-2,zip-2
zip-2,nlp-18
zip-2,nep-8
zip-2,cdr-5
zip-2,t02e1.7
zip-2,pgp-6
zip-2,alg-3
zip-2,y47d7a.13
daf-16,clec-47
daf-16,b0024.4
daf-16,col-139
daf-16,clec-67
daf-16,k02e2.6
daf-16,m60.2
daf-16,clec-41
daf-16,lbp-5
daf-16,t16g12.1
daf-16,best-7
daf-16,pmp-1
daf-16,ifc-2
daf-16,c08e3.13
daf-16,cpi-1
daf-16,t21b6.3
daf-16,y51h7c.3
daf-16,k07c11.7
daf-16,lfi-1
daf-16,c05b5.8
daf-16,m01a8.1
daf-16,c16e9.2
daf-16,srh-160
daf-16,f09c8.1
daf-16,nlp-26
daf-16,gsto-1
daf-16,nhr-43
daf-16,t19d12.4
daf-16,cth-1
daf-16,y58a7a.3
daf-16,nas-9
daf-16,c39h7.1
daf-16,y105c5a.13
daf-16,y105c5a.12
daf-16,nlp-25
daf-16,c08e3.1
daf-16,c10c5.2
daf-16,vap-2
daf-16,y58a7a.5
daf-16,pgp-5
daf-16,y73f4a.3
daf-16,fipr-8
daf-16,nep-8
daf-16,pgp-6
daf-16,fbxc-7
daf-16,f12a10.1
daf-16,c07a12.7
daf-16,piit-1
daf-16,pdb1.1
daf-16,f35b12.3
daf-16,f34h10.3
daf-16,gst-3
daf-16,gst-4
daf-16,r07e3.7
daf-16,grd-4
daf-16,c48b4.3
daf-16,f08c6.5
daf-16,ptr-20
daf-16,t23f4.1
daf-16,hda-5
daf-16,clec-8
daf-16,lips-15
daf-16,sek-1
daf-16,f26a1.8
daf-16,f26a1.6
daf-16,t26c5.4
daf-16,djr-1.2
daf-16,cyp-34a5
daf-16,ges-1
daf-16,cyp-34a9
daf-16,y49g5a.1
daf-16,bam-2
daf-16,clec-15
daf-16,d1086.2
daf-16,d1086.1
daf-16,t07d10.3
daf-16,w02d7.5
daf-16,c17g10.7
daf-16,dhs-9
daf-16,his-2
daf-16,dhs-12
daf-16,hacd-1
daf-16,mtl-1
daf-16,t07d1.2
daf-16,f01d4.8
daf-16,t27f6.8
daf-16,t22c8.6
daf-16,egl-6
daf-16,t12d8.5
daf-16,lgc-22
daf-16,f25e2.3
daf-16,ceh-63
daf-16,c55a6.3
daf-16,f59b10.5
daf-16,zk355.3
daf-16,nbid-1
daf-16,col-50
daf-16,dmd-10
daf-16,k07b1.4
daf-16,nspa-2
daf-16,f45d11.15
daf-16,nspa-4
daf-16,f55h12.4
daf-16,sec-15
daf-16,t05f1.11
daf-16,grl-2
daf-16,f41e6.5
daf-16,f41d9.2
daf-16,clec-57
daf-16,c13c4.6
daf-16,ttr-26
daf-16,ttr-25
daf-16,t03f6.3
daf-16,poml-3
