# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Genotype,Age,Strain,Perturbation type,Data type,Data source,Source,Comments
daf-16,his-42
daf-16,tre-4
daf-16,his-45
daf-16,c06a12.3
daf-16,c06a6.5
daf-16,sod-3
daf-16,y48c3a.3
daf-16,gst-15
daf-16,t05g5.5
daf-16,c11g10.1
daf-16,gpd-3
daf-16,k09c4.5
daf-16,tbb-6
daf-16,t28d9.3
daf-16,ethe-1
daf-16,pnk-1
daf-16,hen-1
daf-16,c02f12.5
daf-16,t19d7.6
daf-16,cyp-14a4
daf-16,r04b5.6
daf-16,madd-4
daf-16,mfb-1
daf-16,egl-13
daf-16,dh11.2
daf-16,y39a3cl.4
daf-16,k03d3.2
daf-16,f02h6.6
daf-16,y34f4.2
daf-16,f38b6.4
daf-16,y61a9la.4
daf-16,d2007.2
daf-16,t05h4.15
daf-16,far-3
daf-16,nspa-8
daf-16,cld-9
daf-16,c54f6.6
daf-16,y80d3a.9
daf-16,c54f6.5
daf-16,b0507.10
daf-16,unc-84
daf-16,b0284.2
daf-16,cyp-14a1
daf-16,cyp-14a3
daf-16,sod-5
daf-16,lin-11
daf-16,stdh-1
daf-16,c06b3.6
daf-16,kin-16
daf-16,nspa-3
daf-16,fbxa-78
daf-16,nspa-5
daf-16,zc410.5
daf-16,dod-6
daf-16,c54c8.12
daf-16,cyp-35b2
daf-16,cyp-35b1
daf-16,f45d11.14
daf-16,cyp-25a2
daf-16,cyp-33e2
daf-16,y9c9a.16
daf-16,r13h4.5
daf-16,r13h4.6
daf-16,ins-23
daf-16,f08g12.5
daf-16,t07d3.4
daf-16,f35f10.7
daf-16,nceh-1
daf-16,f41e7.1
daf-16,yap-1
daf-16,xtr-1
daf-16,h18n23.2
daf-16,c25e10.12
daf-16,his-55
daf-16,c17c3.3
daf-16,his-49
daf-16,hil-1
daf-16,c06g3.3
daf-16,c06e8.5
daf-16,f23f1.2
daf-16,c41g7.3
daf-16,nhr-76
daf-16,nhr-1
daf-16,clec-145
daf-16,r03h10.7
daf-16,t20d4.11
daf-16,f47b10.9
daf-16,try-9
daf-16,f01f1.14
daf-16,dhs-20
daf-16,y6g8.2
daf-16,f44a6.5
daf-16,fipr-23
daf-16,fipr-24
daf-16,fipr-26
daf-16,dhs-26
daf-16,frm-4
daf-16,tyr-2
daf-16,best-5
daf-16,d1005.5
daf-16,srv-24
daf-16,nlp-1
daf-16,w02c12.2
daf-16,aakb-1
daf-16,gnrr-2
daf-16,fbxa-161
daf-16,bath-26
daf-16,dct-7
daf-16,f15e6.9
daf-16,elo-2
daf-16,h39e23.3
daf-16,amt-1
daf-16,arrd-25
daf-16,c17h1.7
daf-16,c54g4.5
daf-16,f54f7.3
daf-16,rskn-2
daf-16,srg-32
daf-16,c25e10.8
daf-16,c08e8.4
daf-16,f58b4.3
daf-16,maa-1
daf-16,nkb-3
daf-16,y53g8b.2
daf-16,cab-1
daf-16,y53g8b.1
daf-16,brp-1
daf-16,t19b10.2
daf-16,f59a7.2
daf-16,k03a11.5
daf-16,slc-36.3
daf-16,comt-4
daf-16,acs-17
daf-16,gst-29
daf-16,t25b2.2
daf-16,tat-4
daf-16,ugt-27
daf-16,btb-17
daf-16,fbxa-163
daf-16,fbxa-164
daf-16,sta-1
daf-16,f09f7.6
daf-16,aat-1
daf-16,b0361.9
daf-16,t27e4.7
daf-16,t23b3.2
daf-16,f49c5.3
daf-16,fbxa-165
daf-16,y57g7a.1
daf-16,c45e5.3
daf-16,c04e12.5
daf-16,e04f6.9
daf-16,y38c1ab.5
daf-16,clx-1
daf-16,chil-17
daf-16,spp-12
daf-16,t03f6.4
daf-16,nnt-1
daf-16,gst-39
daf-16,m162.5
daf-16,c40h1.2
daf-16,w02h5.8
daf-16,y70c5a.3
daf-16,t01d1.4
daf-16,w01a8.8
daf-16,y38c1ab.1
daf-16,f20a1.10
daf-16,c53b7.3
daf-16,his-25
daf-16,clec-13
daf-16,fat-5
daf-16,f58e2.3
daf-16,far-7
daf-16,alh-2
daf-16,t11g6.3
daf-16,asp-9
daf-16,scl-20
daf-16,zc204.12
daf-16,zk455.5
daf-16,unc-38
daf-16,r186.1
daf-16,f15b9.6
daf-16,zc443.3
daf-16,y69h2.3
daf-16,f45d11.1
daf-16,w01c9.1
daf-16,w05b10.4
daf-16,clec-61
daf-16,h16d19.3
daf-16,h19n07.3
daf-16,slc-17.7
daf-16,y26d4a.21
daf-16,ttr-46
daf-16,r06a10.1
daf-16,r53.5
daf-16,chil-7
daf-16,chil-8
daf-16,npr-26
daf-16,y51b9a.8
daf-16,twk-33
daf-16,f40g12.5
daf-16,abhd-5.1
daf-16,thn-1
daf-16,thn-2
daf-16,f45d11.16
daf-16,his-59
daf-16,r09d1.12
daf-16,his-63
daf-16,skr-13
daf-16,skr-12
daf-16,aakg-4
daf-16,icmt-1
daf-16,t01b10.5
daf-16,skr-4
daf-16,c30g12.2
daf-16,his-17
daf-16,hlh-33
daf-16,cyp-33c1
daf-16,ptr-12
daf-16,ttr-41
daf-16,f44d12.2
daf-16,c29e4.10
daf-16,dlhd-1
daf-16,arrd-11
daf-16,ttr-48
daf-16,y51b9a.9
daf-16,jun-1
daf-16,b0238.13
daf-16,b0238.12
daf-16,wbgene00016875
daf-16,d1086.9
daf-16,poml-2
daf-16,mce-1
daf-16,fbxa-187
daf-16,y71h2am.13
daf-16,dod-3
daf-16,f19c6.4
daf-16,f43h9.4
daf-16,aman-1
daf-16,lys-7
daf-16,scrm-1
daf-16,asp-13
daf-16,f44a2.7
daf-16,zk593.3
daf-16,h03a11.1
daf-16,fbxa-151
daf-16,r03h10.1
daf-16,ttr-23
daf-16,m60.4
daf-16,y4c6b.5
daf-16,tth-1
daf-16,lbp-8
daf-16,lec-4
daf-16,c23g10.6
daf-16,b0286.3
daf-16,k11g9.5
daf-16,k11g12.6
daf-16,f45e12.6
daf-16,f36g9.7
daf-16,glt-5
daf-16,sdz-24
daf-16,r05d8.7
daf-16,f47b8.4
daf-16,pepm-1
daf-16,y38f1a.8
daf-16,f47b8.2
daf-16,y37e11b.7
daf-16,y48a6b.8
daf-16,c54d10.10
daf-16,y51a2a.4
daf-16,ugt-41
daf-16,f53e10.1
daf-16,abf-2
daf-16,abf-1
daf-16,t22f7.4
daf-16,y46g5a.29
daf-16,cyp-34a6
daf-16,y54g2a.11
daf-16,acs-21
daf-16,clec-82
daf-16,klo-1
daf-16,f26g1.2
daf-16,nspa-9
daf-16,f52e10.4
daf-16,f18c5.10
daf-16,b0238.1
daf-16,sto-1
daf-16,gsy-1
daf-16,cyp-13b1
daf-16,ttr-5
daf-16,his-10
daf-16,his-13
daf-16,his-9
daf-16,f13d11.4
daf-16,c32f10.4
daf-16,f35f10.6
daf-16,t22b7.7
daf-16,his-14
daf-16,f21a3.2
daf-16,f23f1.7
daf-16,cex-1
daf-16,h06a10.1
daf-16,ttm-2
daf-16,t03g6.3
daf-16,k10h10.5
daf-16,ttr-44
daf-16,w01a11.1
daf-16,sulp-8
daf-16,ctl-1
daf-16,zk899.1
daf-16,f15g9.1
daf-16,f17b5.1
daf-16,col-183
daf-16,scl-25
daf-16,f57h12.6
daf-16,t23g7.2
daf-16,c17g1.2
daf-16,nas-5
daf-16,cutl-24
daf-16,glb-1
daf-16,f16b4.7
daf-16,f57g8.7
daf-16,c14f11.6
daf-16,t02b5.1
daf-16,y105c5a.8
daf-16,ctl-3
daf-16,tom-1
daf-16,his-32
daf-16,c24b5.4
daf-16,his-26
daf-16,his-27
daf-16,tps-1
daf-16,sams-5
daf-16,math-37
daf-16,c07d8.6
daf-16,slc-17.6
daf-16,oat-1
daf-16,ugt-48
daf-16,f14d7.6
daf-16,ugt-46
daf-16,fbxa-128
daf-16,f49f1.7
daf-16,mul-1
daf-16,c49c8.5
daf-16,drd-50
daf-16,f21d5.3
daf-16,f13b6.2
daf-16,clec-4
daf-16,parg-2
daf-16,c49g7.10
daf-16,y38f2ar.9
daf-16,f32a5.3
daf-16,trap-3
daf-16,fmo-1
daf-16,f25b3.4
daf-16,pho-9
daf-16,e02c12.8
daf-16,clec-210
daf-16,zc416.6
daf-16,nhr-63
daf-16,ndg-4
daf-16,ncx-7
daf-16,ncx-6
daf-16,mtl-2
daf-16,zk1240.4
daf-16,exl-1
daf-16,valv-1
daf-16,y17d7b.2
daf-16,k05f1.10
daf-16,h02f09.3
daf-16,f54c8.7
daf-16,aman-3
daf-16,lec-10
daf-16,hpo-13
daf-16,f13a7.11
daf-16,yars-1
daf-16,nhr-176
daf-16,math-14
daf-16,k11h12.4
daf-16,cdf-1
daf-16,cdd-1
daf-16,c05d12.3
daf-16,ver-2
daf-16,cutl-18
daf-16,ifd-2
daf-16,fbxa-74
daf-16,t05f1.9
daf-16,fitm-2
daf-16,ifd-1
daf-16,ifb-2
daf-16,sru-22
daf-16,cah-3
daf-16,pept-1
daf-16,f28h7.3
daf-16,c26b9.7
daf-16,f39g3.5
daf-16,cgr-1
daf-16,cln-3.1
daf-16,clec-174
daf-16,scav-5
daf-16,wbgene00021742
daf-16,y50d4b.4
daf-16,y50d4b.6
daf-16,hsp-17
daf-16,ppk-2
daf-16,t28b4.4
daf-16,y48e1b.8
daf-16,c18a11.4
daf-16,vars-2
daf-16,ugt-2
daf-16,cah-5
daf-16,t08b1.1
daf-16,y75b8a.24
daf-16,f59b1.8
daf-16,ugt-53
daf-16,y75b8a.39
daf-16,klo-2
daf-16,kqt-2
daf-16,arf-1.1
daf-16,y32f6a.4
daf-16,mec-5
daf-16,nas-20
daf-16,c18d4.8
daf-16,c31h5.6
daf-16,clec-3
daf-16,c34h4.2
daf-16,c27a7.1
daf-16,act-5
daf-16,bre-1
daf-16,m02f4.3
daf-16,txl-1
daf-16,sri-40
daf-16,clec-265
daf-16,aqp-4
daf-16,c32d5.6
daf-16,clec-66
daf-16,f58g6.3
daf-16,c11e4.7
daf-16,m04c3.1
daf-16,cccp-1
daf-16,f09e8.2
daf-16,pbo-1
daf-16,cpt-5
daf-16,f53h8.3
daf-16,obr-1
daf-16,his-62
daf-16,tba-4
daf-16,ins-7
daf-16,e02c12.6
daf-16,zk177.3
daf-16,haf-6
daf-16,cdk-5
daf-16,dod-23
daf-16,clec-51
daf-16,ugt-47
daf-16,flr-4
daf-16,t02b11.4
daf-16,c04g6.5
daf-16,y59h11ar.4
daf-16,zk673.1
daf-16,nmat-1
daf-16,f35e12.9
daf-16,c29f7.1
daf-16,acl-1
daf-16,crn-6
daf-16,t09b4.8
daf-16,ugt-16
daf-16,c06b3.7
daf-16,c06b8.2
daf-16,c25d7.5
daf-16,w02b12.1
daf-16,fbxa-157
daf-16,t24a6.20
daf-16,c28g1.5
daf-16,oac-59
daf-16,pho-8
daf-16,pes-7
daf-16,gst-22
daf-16,f13e6.5
daf-16,acn-1
daf-16,his-54
daf-16,dpyd-1
daf-16,h20e11.3
daf-16,h20e11.2
daf-16,his-52
daf-16,y46d2a.2
daf-16,y34b4a.9
daf-16,y39b6a.1
daf-16,y39a1a.24
daf-16,tes-1
daf-16,ssp-19
daf-16,f07b7.2
daf-16,f07b7.1
daf-16,sdz-6
daf-16,ugt-9
daf-16,f53f1.3
daf-16,c18a11.3
daf-16,vha-3
daf-16,y37d8a.4
daf-16,vha-1
daf-16,y41d4b.18
daf-16,c50f2.7
daf-16,dod-17
daf-16,t04f8.2
daf-16,k10d11.5
daf-16,k08d8.6
daf-16,y71h10b.1
daf-16,f14f9.4
daf-16,zk228.4
daf-16,zk228.3
daf-16,c25d7.16
daf-16,acox-2
daf-16,sgk-1
daf-16,pho-13
daf-16,pho-4
daf-16,nrf-6
daf-16,mig-23
daf-16,f56d2.5
daf-16,t05b11.1
daf-16,y32f6a.5
daf-16,t28d6.3
daf-16,unc-93
daf-16,nhr-143
daf-16,haao-1
daf-16,f25a2.1
daf-16,f58b4.5
daf-16,gln-1
daf-16,rgs-7
daf-16,c14c11.4
daf-16,lbp-3
daf-16,c18e9.5
daf-16,lbp-7
daf-16,t25g12.6
daf-16,aqp-8
daf-16,acd-1
daf-16,delm-2
daf-16,f47d12.6
daf-16,gst-28
daf-16,f42a10.7
daf-16,acbp-3
daf-16,tag-38
daf-16,daf-36
daf-16,ugt-28
daf-16,ugt-26
daf-16,pcp-4
daf-16,aat-6
daf-16,aat-4
daf-16,h20e11.1
daf-16,math-3
daf-16,math-4
daf-16,k09c4.1
daf-16,c35a11.4
daf-16,rft-2
daf-16,f43c1.5
daf-16,t26f2.2
daf-16,zk6.11
daf-16,mth-1
daf-16,y45g12c.1
daf-16,cdr-1
daf-16,y41c4a.11
daf-16,gst-38
daf-16,ads-1
daf-16,m03b6.1
daf-16,his-22
daf-16,his-20
daf-16,gale-1
daf-16,c53b7.2
daf-16,c17h12.6
daf-16,t01c8.3
daf-16,far-6
daf-16,f35e12.5
daf-16,h06h21.8
daf-16,gbh-1
daf-16,srx-58
daf-16,lact-9
daf-16,zc376.2
daf-16,elp-1
daf-16,cpt-6
daf-16,c06c3.4
daf-16,cdr-7
daf-16,irld-35
daf-16,f55b11.1
daf-16,pho-7
daf-16,f36a2.3
daf-16,bas-1
daf-16,dod-24
daf-16,c32h11.9
daf-16,dod-21
daf-16,gly-13
daf-16,inx-17
daf-16,m7.12
daf-16,gly-5
daf-16,inx-15
daf-16,y14h12a.1
daf-16,w02h3.1
daf-16,ugt-29
daf-16,c31h2.4
daf-16,y27f2a.6
daf-16,tmem-135
daf-16,f40f4.7
daf-16,f58g6.7
daf-16,w09b7.1
daf-16,w09b7.2
daf-16,srm-3
daf-16,f11d5.7
daf-16,y39d8a.1
daf-16,c10c5.4
daf-16,c10c5.5
daf-16,e04d5.4
daf-16,ugt-44
daf-16,m05b5.4
daf-16,fbxa-14
daf-16,c49a9.5
daf-16,ptr-6
daf-16,k08d10.10
daf-16,c49a9.2
daf-16,k08f9.1
daf-16,y39a3a.3
daf-16,f53c11.1
daf-16,t24c4.4
daf-16,d1086.5
daf-16,t06a1.5
daf-16,scav-1
daf-16,f55g11.2
daf-16,f55g11.4
daf-16,dod-22
daf-16,f55g11.8
daf-16,mig-17
daf-16,f22e5.1
daf-16,wbgene00022585
daf-16,t05c3.6
daf-16,t05e7.1
daf-16,lys-3
daf-16,zk550.2
daf-16,k05b2.4
daf-16,efn-3
daf-16,alh-13
daf-16,oac-6
daf-16,mbf-1
daf-16,erv-46
daf-16,oac-31
daf-16,ttm-5
daf-16,y105e8a.3
daf-16,f55g1.15
daf-16,c16d9.4
daf-16,f58g6.9
daf-16,fat-7
daf-16,hpo-34
daf-16,t16g1.6
daf-16,f36g9.3
daf-16,clec-232
daf-16,oac-20
daf-16,y47h10a.5
daf-16,hum-8
daf-16,irld-53
daf-16,r10d12.1
daf-16,y58a7a.4
daf-16,c49c3.9
daf-16,pgp-7
daf-16,ced-6
daf-16,clec-10
daf-16,cln-3.3
daf-16,asp-17
daf-16,c40h1.7
daf-16,m01g12.9
daf-16,ent-4
daf-16,his-8
daf-16,d2096.1
daf-16,y71f9b.9
daf-16,math-40
daf-16,y43f8b.9
daf-16,abhd-3.2
daf-16,arrd-7
daf-16,f19c7.2
daf-16,f19c7.4
daf-16,k08c7.1
daf-16,zk105.1
daf-16,cng-1
daf-16,clec-74
daf-16,rft-1
daf-16,erm-1
daf-16,rom-1
daf-16,f54e2.1
daf-16,zk896.5
daf-16,zk896.4
daf-16,c32h11.1
daf-16,c32h11.4
daf-16,c32h11.3
daf-16,nhx-2
daf-16,ina-1
daf-16,clec-204
daf-16,hpd-1
daf-16,c49g7.12
daf-16,zig-7
daf-16,pho-1
daf-16,c05d12.4
daf-16,tre-3
daf-16,btb-21
daf-16,dct-18
daf-16,m79.2
daf-16,srh-70
daf-16,f47h4.2
daf-16,acs-3
daf-16,mrps-10
daf-16,e02h9.3
daf-16,f56h6.9
daf-16,c01f1.4
daf-16,ugt-22
daf-16,lact-6
daf-16,ilys-3
daf-16,nep-9
daf-16,rpl-33
daf-16,zk669.3
daf-16,f55a3.6
daf-16,del-5
daf-16,irld-39
daf-16,ins-26
daf-16,ctsa-1
daf-16,f23f1.6
daf-16,snt-7
daf-16,f08a8.4
daf-16,zc395.5
daf-16,spp-20
daf-16,fbxa-99
daf-16,srx-112
daf-16,pcp-2
daf-16,c33d3.4
daf-16,rpl-41
daf-16,zk666.4
daf-16,c09g12.5
daf-16,cct-3
daf-16,c25h3.10
daf-16,f33h12.1
daf-16,srbc-35
daf-16,c17h12.8
daf-16,coq-1
daf-16,k11h12.3
daf-16,f41c3.7
daf-16,f36g3.2
daf-16,c01g10.9
daf-16,srx-77
daf-16,sri-31
daf-16,e02h4.7
daf-16,c38c3.4
daf-16,c08f11.7
daf-16,f10a3.4
daf-16,f57g4.1
daf-16,f55f3.4
daf-16,r08f11.4
daf-16,c10c6.7
daf-16,t14g8.4
daf-16,fbxc-40
daf-16,y32b12c.1
daf-16,t05a8.10
daf-16,c05c9.7
daf-16,dmsr-11
daf-16,f57g4.11
daf-16,c33g8.2
daf-16,c23h3.11
daf-16,y10g11a.90
daf-16,c48c5.7
daf-16,f31e9.6
daf-16,k10g4.3
daf-16,spp-23
daf-16,fbxa-192
daf-16,smd-1
daf-16,lurp-4
daf-16,c02f4.9
daf-16,c33a12.19
daf-16,f08g5.6
daf-16,fipr-1
daf-16,f58f9.4
daf-16,c10e2.5
daf-16,hmit-1.1
daf-16,y102a5c.36
daf-16,f08f1.16
daf-16,ugt-30
daf-16,fbxb-40
daf-16,f08f1.14
daf-16,w02f12.2
daf-16,fbxa-72
daf-16,c10e2.4
daf-16,c10e2.1
daf-16,f12e12.1
daf-16,f22f1.2
daf-16,ckr-2
daf-16,y37a1a.2
daf-16,cyp-34a2
daf-16,r03h10.6
daf-16,y92c3a.9
daf-16,f37c12.22
daf-16,t26h5.9
daf-16,y54g2a.36
daf-16,srr-6
daf-16,y110a2al.3
daf-16,dot-1.2
daf-16,f55b12.10
daf-16,c17e4.20
daf-16,c17e4.2
daf-16,f56d6.8
daf-16,ent-6
daf-16,cls-3
daf-16,h32k16.2
daf-16,srx-14
daf-16,k06c4.19
daf-16,t05b9.3
daf-16,fbxa-162
daf-16,c38h2.3
daf-16,dct-8
daf-16,zc84.7
daf-16,csq-1
daf-16,prk-2
daf-16,nep-3
daf-16,srh-71
daf-16,c06e2.1
daf-16,b0272.4
daf-16,swt-3
daf-16,zk355.8
daf-16,f59c12.4
daf-16,ser-4
daf-16,k06c4.21
daf-16,k08d8.4
daf-16,clec-75
daf-16,col-42
daf-16,y42a5a.3
daf-16,f43g6.16
daf-16,pqn-73
daf-16,sri-43
daf-16,y57a10b.8
daf-16,w01c9.2
daf-16,b0284.1
daf-16,acs-7
daf-16,c17c3.5
daf-16,h01g02.1
daf-16,col-124
daf-16,c50f7.5
daf-16,f36f2.2
daf-16,lipl-2
daf-16,f20g2.5
daf-16,b0348.5
daf-16,f46c5.1
daf-16,grd-5
daf-16,grd-3
daf-16,irg-3
daf-16,c49g7.6
daf-16,irg-2
daf-16,c15h9.9
daf-16,r193.2
daf-16,zk1193.4
daf-16,f28b4.3
daf-16,f25e2.2
daf-16,gba-4
daf-16,papl-1
daf-16,c18h9.6
daf-16,f55h12.2
daf-16,k12h4.7
daf-16,k09c6.9
daf-16,cyp-35a3
daf-16,k09d9.1
daf-16,fip-5
daf-16,y54g2a.3
daf-16,ilys-5
daf-16,drd-1
daf-16,ugt-31
daf-16,w03d8.8
daf-16,zk121.2
daf-16,asp-8
daf-16,y82e9bl.18
daf-16,f56c9.7
daf-16,asp-2
daf-16,y38e10a.14
daf-16,pgp-12
daf-16,pud-2.1
daf-16,f57f4.4
daf-16,drd-2
daf-16,f49c12.7
daf-16,r09h10.5
daf-16,scl-2
daf-16,y16b4a.2
daf-16,t04a6.1
daf-16,asp-1
daf-16,f35f10.4
daf-16,c27b7.9
daf-16,c49f5.7
daf-16,f13d12.6
daf-16,fasn-1
daf-16,k08d8.3
daf-16,lin-48
daf-16,t25c12.3
daf-16,acox-1
daf-16,col-96
daf-16,gsnl-1
daf-16,pho-11
daf-16,y53g8ar.7
daf-16,srp-1
daf-16,f26a3.4
daf-16,f42a10.6
daf-16,acp-6
daf-16,spp-18
daf-16,cpr-5
daf-16,cpr-4
daf-16,f55b11.3
daf-16,f17c11.6
daf-16,t12b3.2
daf-16,k10c2.1
daf-16,vap-1
daf-16,ugt-64
daf-16,lys-6
daf-16,ugt-43
daf-16,y12a6a.1
daf-16,y71h2b.4
daf-16,c36c5.5
daf-16,cpg-9
daf-16,pud-4
daf-16,lys-4
daf-16,t01d3.6
daf-16,clec-173
daf-16,t05e12.3
daf-16,r11d1.3
daf-16,btb-14
daf-16,f39e9.1
daf-16,y43f8b.1
daf-16,tsp-10
daf-16,lys-2
daf-16,best-1
daf-16,t23f2.2
daf-16,c55b7.10
daf-16,fmo-2
daf-16,w02d7.11
daf-16,w08a12.4
daf-16,obr-2
daf-16,c07e3.3
daf-16,w03d2.6
daf-16,y43c5a.3
daf-16,arrd-4
daf-16,y39g8b.7
daf-16,cyp-33d1
daf-16,wht-1
daf-16,m02d8.6
daf-16,y73f4a.2
daf-16,tsp-1
daf-16,c29f7.2
daf-16,chil-28
daf-16,sek-6
daf-16,f59c6.14
daf-16,w03f9.4
daf-16,slc-36.5
daf-16,t02e9.5
daf-16,cyp-37b1
daf-16,r05h10.1
daf-16,c44h9.7
daf-16,ins-22
daf-16,f57b10.9
daf-16,ttr-50
daf-16,t19c9.8
daf-16,f23g4.1
daf-16,k02e7.7
daf-16,c54f6.15
daf-16,srp-3
daf-16,y47d7a.15
daf-16,f17e9.2
daf-16,myo-3
daf-16,gfi-1
daf-16,c03g6.5
daf-16,fbxa-6
daf-16,cpr-2
daf-16,kgb-2
daf-16,y34f4.4
daf-16,scrm-4
daf-16,dgk-2
daf-16,y47h10a.3
daf-16,myo-2
daf-16,t07g12.5
daf-16,zip-8
daf-16,cri-1
daf-16,f14h12.8
daf-16,c03b1.13
daf-16,dct-3
daf-16,rnh-1.3
daf-16,c41h7.2
daf-16,aqp-1
daf-16,ugt-40
daf-16,dao-6
daf-16,c03g6.17
daf-16,btb-16
daf-16,che-10
daf-16,gln-3
daf-16,ist-1
daf-16,snf-1
daf-16,t25g3.4
daf-16,mdh-1
daf-16,y37e11b.5
daf-16,hpo-28
daf-16,clec-52
daf-16,srbc-76
daf-16,clec-60
daf-16,lys-5
daf-16,k02e7.6
daf-16,f01d5.1
daf-16,dod-19
daf-16,f23f12.12
daf-16,math-41
daf-16,catp-3
daf-16,c08f11.13
daf-16,lys-10
daf-16,y45f10d.6
daf-16,gei-7
daf-16,c23g10.11
daf-16,nhr-68
daf-16,f53a9.8
daf-16,lpd-2
daf-16,chs-1
daf-16,ppw-2
daf-16,pud-2.2
daf-16,col-95
daf-16,ech-9
daf-16,f49h12.5
daf-16,k11g9.2
daf-16,dsc-4
daf-16,y46g5a.20
daf-16,ctsa-2
daf-16,clec-186
daf-16,dhs-31
daf-16,rme-2
daf-16,t24d1.3
daf-16,ttr-18
daf-16,mei-2
daf-16,col-73
daf-16,ugt-14
daf-16,tag-243
daf-16,f45e1.4
daf-16,ttr-47
daf-16,nlp-21
daf-16,h09f14.1
daf-16,kpc-1
daf-16,unc-13
daf-16,emre-1
daf-16,y45g5am.6
daf-16,bgal-1
daf-16,zc412.3
daf-16,f31d4.8
daf-16,eol-1
daf-16,tpra-1
daf-16,math-38
daf-16,lbp-1
daf-16,fbxb-119
daf-16,gbh-2
daf-16,r13h4.2
daf-16,y69e1a.5
daf-16,swm-1
daf-16,c34d1.4
daf-16,pept-2
daf-16,spin-1
daf-16,c33e10.1
daf-16,c33a12.4
daf-16,t16g1.4
daf-16,f41e7.7
daf-16,f59e11.5
daf-16,lec-5
daf-16,ttr-17
daf-16,f14d7.7
daf-16,y43b11ar.3
daf-16,f52g2.3
daf-16,dhs-14
daf-16,t16h12.9
daf-16,t08b2.4
daf-16,f10f2.2
daf-16,tnt-4
daf-16,haf-7
daf-16,flp-21
daf-16,acs-14
daf-16,ins-24
daf-16,pqm-96
daf-16,glo-3
daf-16,y54e5a.5
daf-16,c15h9.11
daf-16,t20g5.8
daf-16,trpa-2
daf-16,ttr-29
daf-16,cyp-34a4
daf-16,glc-1
daf-16,t16g1.7
daf-16,f17c11.13
daf-16,acl-7
daf-16,plep-1
daf-16,gtl-1
daf-16,nhr-206
daf-16,c17c3.9
daf-16,clec-231
daf-16,cyp-35a4
daf-16,zk792.1
daf-16,f22e5.2
daf-16,b0416.2
daf-16,ugt-3
daf-16,t27a8.5
daf-16,math-39
daf-16,elo-3
daf-16,snpc-1.3
daf-16,f42a9.6
daf-16,f55g1.7
daf-16,nhr-187
daf-16,f46b3.9
daf-16,f44e5.4_42
daf-16,t27e4.2_92
daf-16,ech-7
daf-16,c52d10.3
daf-16,t27e4.8_92
daf-16,c52d10.1
daf-16,fbxa-82
daf-16,t27e4.9_102
daf-16,cyp-25a1
daf-16,lipl-5
daf-16,lrp-2
daf-16,y43f8b.7
daf-16,y54g11a.5b
daf-16,f44e5.5_42
daf-16,c23h4.7
daf-16,clec-23
daf-16,ugt-6
daf-16,t08d2.8
daf-16,c29f9.3
daf-16,y73b6bl.36
daf-16,str-118
daf-16,t25g12.8
daf-16,c17h1.1
daf-16,str-190
daf-16,irld-17
daf-16,t22f3.10
daf-16,f16b12.5
daf-16,f07h5.13
daf-16,gst-5
daf-16,srt-14
daf-16,sri-63
daf-16,cyp-33e1
daf-16,y70g10a.3
daf-16,srz-61
daf-16,spp-17
daf-16,c18a11.6
daf-16,c37a5.7
daf-16,c17c3.18_2
daf-16,cyp-25a5
daf-16,srh-51
daf-16,nhr-257
daf-16,t24c2.5
daf-16,zk105.5
daf-16,frpr-11
daf-16,t02e1.4
daf-16,c47d12.5
daf-16,t25d10.4
daf-16,f42g2.5
daf-16,c29f9.14
daf-16,scl-11
daf-16,ref-2
daf-16,cytb-5.1
daf-16,y37h2c.1
daf-16,zk265.7
daf-16,cyp-34a10
daf-16,m04d8.5
daf-16,srxa-4
daf-16,f41c6.6
daf-16,c06e2.2
daf-16,y82e9br.17
daf-16,gmeb-1
daf-16,sru-18
daf-16,r10e4.9
daf-16,t25d10.1
daf-16,ugt-5
daf-16,y56a3a.6
daf-16,k03b4.6
daf-16,sru-40
daf-16,eif-3.g
daf-16,c09h10.5
daf-16,sqv-6
daf-16,ilys-6
daf-16,y54e10a.10
daf-16,c17g10.2
daf-16,rps-26
daf-16,rpl-39
daf-16,rps-28
daf-16,f55h2.5
daf-16,f55a11.8
daf-16,abce-1
daf-16,ndc-80
daf-16,mesp-1
daf-16,ugt-63
daf-16,cacn-1
daf-16,ubq-2
daf-16,zhit-3
daf-16,madf-3
daf-16,daz-1
daf-16,nep-22
daf-16,y73b6bl.23
daf-16,f49c12.12
daf-16,y71h2am.3
daf-16,b0524.6
daf-16,b0336.3
daf-16,asp-10
daf-16,h05c05.1
daf-16,tofu-6
daf-16,c05d9.8
daf-16,t28d6.6
daf-16,cpr-8
daf-16,f54d7.7
daf-16,cec-9
daf-16,rps-19
daf-16,tufm-2
daf-16,t07a9.8
daf-16,prp-38
daf-16,c53a5.6
daf-16,zk370.8
daf-16,hrg-2
daf-16,f42a10.5
daf-16,nhr-274
daf-16,galt-1
daf-16,srh-237
daf-16,y42g9a.5
daf-16,snx-3
daf-16,rab-18
daf-16,f40f8.5
daf-16,alkb-8
daf-16,zc308.4
daf-16,nep-7
daf-16,f56h6.3
daf-16,w06e11.1
daf-16,t01c3.3
daf-16,set-32
daf-16,tofu-2
daf-16,pinn-1
daf-16,vha-6
daf-16,y71f9b.6
daf-16,r07e5.11
daf-16,srw-70
daf-16,r08d7.1
daf-16,y54e10br.2
daf-16,y57a10a.29
